date,keyword,trend_score,snapshot_time,data_source,region
2026-02-04 15:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 16:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 17:00:00,SJC 9999,23,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 18:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 19:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 20:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 21:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 22:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 23:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 00:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 01:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 02:00:00,SJC 9999,26,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 03:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 04:00:00,SJC 9999,50,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 05:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 06:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 07:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 08:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 09:00:00,SJC 9999,29,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 10:00:00,SJC 9999,20,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 11:00:00,SJC 9999,20,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 12:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 13:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 14:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 15:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 16:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 17:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 18:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 19:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 20:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 21:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 22:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 23:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 00:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 01:00:00,SJC 9999,68,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 02:00:00,SJC 9999,45,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 03:00:00,SJC 9999,48,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 04:00:00,SJC 9999,32,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 05:00:00,SJC 9999,32,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 06:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 07:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 08:00:00,SJC 9999,26,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 09:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 10:00:00,SJC 9999,26,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 11:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 12:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 13:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 14:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 15:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 16:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 17:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 18:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 19:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 20:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 21:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 22:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 23:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 00:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 01:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 02:00:00,SJC 9999,28,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 03:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 04:00:00,SJC 9999,46,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 05:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 06:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 07:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 08:00:00,SJC 9999,28,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 09:00:00,SJC 9999,26,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 10:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 11:00:00,SJC 9999,24,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 12:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 13:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 14:00:00,SJC 9999,20,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 15:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 16:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 17:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 18:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 19:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 20:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 21:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 22:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 23:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 00:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 01:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 02:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 03:00:00,SJC 9999,30,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 04:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 05:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 06:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 07:00:00,SJC 9999,35,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 08:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 09:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 10:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 11:00:00,SJC 9999,23,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 12:00:00,SJC 9999,22,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 13:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 14:00:00,SJC 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-01 15:00:00,vàng 9999,24,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-01 16:00:00,vàng 9999,12,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-01 17:00:00,vàng 9999,8,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-01 18:00:00,vàng 9999,6,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-01 19:00:00,vàng 9999,4,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-01 20:00:00,vàng 9999,4,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-01 21:00:00,vàng 9999,5,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-01 22:00:00,vàng 9999,14,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-01 23:00:00,vàng 9999,29,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 00:00:00,vàng 9999,49,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 01:00:00,vàng 9999,76,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 02:00:00,vàng 9999,94,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 03:00:00,vàng 9999,84,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 04:00:00,vàng 9999,90,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 05:00:00,vàng 9999,81,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 06:00:00,vàng 9999,74,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 07:00:00,vàng 9999,78,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 08:00:00,vàng 9999,67,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 09:00:00,vàng 9999,58,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 10:00:00,vàng 9999,44,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 11:00:00,vàng 9999,41,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 12:00:00,vàng 9999,44,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 13:00:00,vàng 9999,38,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 14:00:00,vàng 9999,33,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 15:00:00,vàng 9999,22,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 16:00:00,vàng 9999,13,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 17:00:00,vàng 9999,8,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 18:00:00,vàng 9999,5,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 19:00:00,vàng 9999,4,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 20:00:00,vàng 9999,4,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 21:00:00,vàng 9999,7,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 22:00:00,vàng 9999,16,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-02 23:00:00,vàng 9999,38,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 00:00:00,vàng 9999,60,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 01:00:00,vàng 9999,85,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 02:00:00,vàng 9999,100,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 03:00:00,vàng 9999,78,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 04:00:00,vàng 9999,76,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 05:00:00,vàng 9999,69,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 06:00:00,vàng 9999,54,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 07:00:00,vàng 9999,51,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 08:00:00,vàng 9999,48,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 09:00:00,vàng 9999,38,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 10:00:00,vàng 9999,37,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 11:00:00,vàng 9999,32,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 12:00:00,vàng 9999,34,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 13:00:00,vàng 9999,31,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 14:00:00,vàng 9999,26,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 15:00:00,vàng 9999,17,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 16:00:00,vàng 9999,10,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 17:00:00,vàng 9999,5,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 18:00:00,vàng 9999,3,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 19:00:00,vàng 9999,3,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 20:00:00,vàng 9999,3,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 21:00:00,vàng 9999,5,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 22:00:00,vàng 9999,12,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-03 23:00:00,vàng 9999,27,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 00:00:00,vàng 9999,38,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 01:00:00,vàng 9999,63,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 02:00:00,vàng 9999,69,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 03:00:00,vàng 9999,65,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 04:00:00,vàng 9999,67,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 05:00:00,vàng 9999,63,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 06:00:00,vàng 9999,47,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 07:00:00,vàng 9999,46,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 08:00:00,vàng 9999,42,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 09:00:00,vàng 9999,37,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 10:00:00,vàng 9999,29,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 11:00:00,vàng 9999,27,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 12:00:00,vàng 9999,30,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 13:00:00,vàng 9999,24,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 14:00:00,vàng 9999,22,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 15:00:00,vàng 9999,17,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 16:00:00,vàng 9999,10,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 17:00:00,vàng 9999,6,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 18:00:00,vàng 9999,4,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 19:00:00,vàng 9999,2,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 20:00:00,vàng 9999,3,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 21:00:00,vàng 9999,5,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 22:00:00,vàng 9999,12,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-04 23:00:00,vàng 9999,23,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 00:00:00,vàng 9999,35,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 01:00:00,vàng 9999,46,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 02:00:00,vàng 9999,54,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 03:00:00,vàng 9999,59,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 04:00:00,vàng 9999,53,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 05:00:00,vàng 9999,47,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 06:00:00,vàng 9999,42,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 07:00:00,vàng 9999,41,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 08:00:00,vàng 9999,39,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 09:00:00,vàng 9999,32,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 10:00:00,vàng 9999,29,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 11:00:00,vàng 9999,25,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 12:00:00,vàng 9999,28,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 13:00:00,vàng 9999,24,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 14:00:00,vàng 9999,21,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 15:00:00,vàng 9999,14,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 16:00:00,vàng 9999,10,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 17:00:00,vàng 9999,5,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 18:00:00,vàng 9999,4,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 19:00:00,vàng 9999,3,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 20:00:00,vàng 9999,3,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 21:00:00,vàng 9999,6,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 22:00:00,vàng 9999,12,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-05 23:00:00,vàng 9999,21,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 00:00:00,vàng 9999,40,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 01:00:00,vàng 9999,60,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 02:00:00,vàng 9999,65,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 03:00:00,vàng 9999,64,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 04:00:00,vàng 9999,58,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 05:00:00,vàng 9999,56,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 06:00:00,vàng 9999,47,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 07:00:00,vàng 9999,44,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 08:00:00,vàng 9999,39,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 09:00:00,vàng 9999,31,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 10:00:00,vàng 9999,26,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 11:00:00,vàng 9999,26,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 12:00:00,vàng 9999,23,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 13:00:00,vàng 9999,26,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 14:00:00,vàng 9999,20,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 15:00:00,vàng 9999,16,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 16:00:00,vàng 9999,9,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 17:00:00,vàng 9999,6,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 18:00:00,vàng 9999,4,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 19:00:00,vàng 9999,2,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 20:00:00,vàng 9999,3,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 21:00:00,vàng 9999,5,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 22:00:00,vàng 9999,10,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-06 23:00:00,vàng 9999,20,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 00:00:00,vàng 9999,28,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 01:00:00,vàng 9999,44,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 02:00:00,vàng 9999,45,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 03:00:00,vàng 9999,44,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 04:00:00,vàng 9999,41,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 05:00:00,vàng 9999,40,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 06:00:00,vàng 9999,40,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 07:00:00,vàng 9999,35,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 08:00:00,vàng 9999,32,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 09:00:00,vàng 9999,32,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 10:00:00,vàng 9999,28,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 11:00:00,vàng 9999,22,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 12:00:00,vàng 9999,22,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 13:00:00,vàng 9999,22,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 14:00:00,vàng 9999,20,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 15:00:00,vàng 9999,15,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 16:00:00,vàng 9999,10,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 17:00:00,vàng 9999,6,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 18:00:00,vàng 9999,3,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 19:00:00,vàng 9999,3,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 20:00:00,vàng 9999,4,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 21:00:00,vàng 9999,4,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 22:00:00,vàng 9999,8,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-07 23:00:00,vàng 9999,15,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 00:00:00,vàng 9999,21,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 01:00:00,vàng 9999,30,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 02:00:00,vàng 9999,37,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 03:00:00,vàng 9999,41,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 04:00:00,vàng 9999,41,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 05:00:00,vàng 9999,42,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 06:00:00,vàng 9999,34,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 07:00:00,vàng 9999,35,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 08:00:00,vàng 9999,34,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 09:00:00,vàng 9999,27,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 10:00:00,vàng 9999,24,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 11:00:00,vàng 9999,22,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 12:00:00,vàng 9999,23,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 13:00:00,vàng 9999,22,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 14:00:00,vàng 9999,16,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-08 15:00:00,vàng 9999,0,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-01 15:00:00,vàng 24k,23,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-01 16:00:00,vàng 24k,21,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-01 17:00:00,vàng 24k,15,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-01 18:00:00,vàng 24k,11,2026-02-08 15:05:41.495077,Google Trends,Vietnam
2026-02-01 19:00:00,vàng 24k,8,2026-02-08 15:05:41.495077,Google Trends,Vietnam
